prompt_length_tokens,Token15_time_s,Token30_time_s,Token50_time_s
2000,0.00627468139,0.0111040634,0.0011968996
4000,0.00662335634,0.0106306264,0.00121823219
8000,0.00703460246,0.0113062486,0.0011514185
16000,0.0062091291,0.0107079071,0.00117410256
32000,0.00667778641,0.0113526016,0.00115153111
32757,0.0077834183,0.0132748467,0.000510175778
32758,0.00766855061,0.0129582518,0.000526467103
32759,0.00908360094,0.016139777,0.00055892816
33000,0.00917878777,0.0156560591,0.000413541794
34000,0.00920635036,0.0156829862,0.00040654541
36000,0.00930858105,0.0163042513,0.000445204515
40000,0.00931701839,0.0157136816,0.000515632813
48000,0.00928183407,0.0157204041,0.000487243212
56000,0.00935778946,0.0157701805,0.00049351252
64000,0.00924949259,0.0156810084,0.00114600273
80000,0.00922884017,0.0160344353,0.00121909288
96000,0.00913148105,0.0158678386,0.00116103521
128000,0.00935378032,0.016066411,0.00114418293
256000,0.00946424633,0.0161821365,0.00114453059
512000,0.00945123502,0.0165464316,0.00115788824
1000000,0.009926199,0.0178615271,0.00117017822
